dataset,outcome,scenario,old_k,new_k,old_estimate,new_estimate,reason
"rawMeanDifferences","CDR-SB scale at 18 months","Demonstrated clearance: >=2 CL","","6","","-0.3595199682068966","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","CDR-SB scale at 18 months","Demonstrated clearance: >=4 CL","","5","","-0.3138970943515159","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","CDR-SB scale at 18 months","Demonstrated clearance: >=6 CL","","5","","-0.3138970943515159","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","CDR-SB scale at 18 months","Demonstrated clearance: >=8 CL","","5","","-0.3138970943515159","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","CDR-SB scale above 24 months","Demonstrated clearance: >=12 CL","","2","","-0.227514320809825","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","CDR-SB scale above 24 months","Demonstrated clearance: >=2 CL","","2","","-0.227514320809825","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","CDR-SB scale above 24 months","Demonstrated clearance: >=4 CL","","2","","-0.227514320809825","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","CDR-SB scale above 24 months","Demonstrated clearance: >=6 CL","","2","","-0.227514320809825","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","CDR-SB scale above 24 months","Demonstrated clearance: >=8 CL","","2","","-0.227514320809825","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","DAD total score at 18 months","Demonstrated clearance: >=2 CL","","1","","0.5999999999999996","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","DAD total score at 18 months","Demonstrated clearance: >=4 CL","","1","","0.5999999999999996","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","DAD total score at 18 months","Demonstrated clearance: >=6 CL","","1","","0.5999999999999996","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","DAD total score at 18 months","Demonstrated clearance: >=8 CL","","1","","0.5999999999999996","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","ADCS-ADL score at 18 months","Demonstrated clearance: >=2 CL","","1","","2.52","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","ADCS-ADL score above 24 months","Demonstrated clearance: >=12 CL","","2","","0.9542616730399138","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","ADCS-ADL score above 24 months","Demonstrated clearance: >=2 CL","","2","","0.9542616730399138","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","ADCS-ADL score above 24 months","Demonstrated clearance: >=4 CL","","2","","0.9542616730399138","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","ADCS-ADL score above 24 months","Demonstrated clearance: >=6 CL","","2","","0.9542616730399138","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","ADCS-ADL score above 24 months","Demonstrated clearance: >=8 CL","","2","","0.9542616730399138","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","ADCS-iADL score at 18 months","Demonstrated clearance: >=12 CL","","1","","1.75","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","ADCS-iADL score at 18 months","Demonstrated clearance: >=2 CL","","1","","1.75","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","ADCS-iADL score at 18 months","Demonstrated clearance: >=4 CL","","1","","1.75","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","ADCS-iADL score at 18 months","Demonstrated clearance: >=6 CL","","1","","1.75","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","ADCS-iADL score at 18 months","Demonstrated clearance: >=8 CL","","1","","1.75","Added investigator-defined Centiloid threshold sensitivity"
"rawMeanDifferences","NPI-Q score at 12 months","Demonstrated clearance: >=2 CL","","1","","0.76","Added investigator-defined Centiloid threshold sensitivity"
