study,analysis_id,outcome,experimental_n,control_n,experimental_mean,control_mean,experimental_sd,control_sd,effect,ci_low,ci_high,variance,raw_md,raw_variance,amyloid_change_cl,pairing_status,instrument_status,source_locator
GRADUATE II 2023,4.4,Any ARIA E above 24 months,496,470,NA,NA,NA,NA,6.738351254480287,4.18220125755483,10.85681315473154,0.05922426694882946,NA,NA,-56.46,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE II 2023 | 4.4
TRAILBLAZER-ALZ 2 2023,4.5,Symptomatic ARIA E at 18 months,853,874,NA,NA,NA,NA,53.2801875732708,7.382367491768026,384.5349599580896,1.0169142715284885,NA,NA,-86.33,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 4.5
CLARITY AD 2023,4.5,Symptomatic ARIA E at 18 months,898,897,NA,NA,NA,NA,50.943270300333715,3.1061696077410943,835.5038895574628,2.0369897534761288,NA,NA,-59.12,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 4.5
GRADUATE I 2023,4.6,Symptomatic ARIA E above 24 months,497,476,NA,NA,NA,NA,50.76506024096386,3.10245243246334,830.662644268968,2.033631380869391,NA,NA,-66.44,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE I 2023 | 4.6
GRADUATE II 2023,4.6,Symptomatic ARIA E above 24 months,496,470,NA,NA,NA,NA,11.370967741935486,2.7022835331981745,47.8480166124948,0.537522878059941,NA,NA,-56.46,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE II 2023 | 4.6
TRAILBLAZER-ALZ 2 2023,4.7,Any ARIA H at 18 months,853,874,NA,NA,NA,NA,2.3075452924428856,1.9002351235087331,2.802161275096992,0.00981820692583882,NA,NA,-86.33,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 4.7
CLARITY AD 2023,4.7,Any ARIA H at 18 months,898,897,NA,NA,NA,NA,1.911449311226594,1.4852377835816704,2.4599687065446343,0.01656887896768533,NA,NA,-59.12,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 4.7
CREAD 2 2022,4.7,Any ARIA H at 18 months,398,388,NA,NA,NA,NA,0.8477168450950404,0.4733550733408244,1.5181496722661432,0.08838837846786607,NA,NA,-3.79,Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2 2022 | 4.7
Marguerite RoAD 2024,4.8,Any ARIA H at 24 months,192,195,NA,NA,NA,NA,1.5234375,0.6368936685216413,3.644033425223771,0.197996794871795,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Marguerite RoAD 2024 | 4.8
SCarlet RoAD 2017,4.8,Any ARIA H at 24 months,260,266,NA,NA,NA,NA,1.2276923076923076,0.8109117597692889,1.858683616569678,0.04477540003855796,NA,NA,-12.64,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | SCarlet RoAD 2017 | 4.8
ENVISION,4.8,Any ARIA H at 24 months,680,344,NA,NA,NA,NA,2.5330396475770924,0.1219456991199386,52.61595859880877,2.3956330204941607,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENVISION | 4.8
CREAD 2022,4.8,Any ARIA H at 24 months,399,397,NA,NA,NA,NA,1.2517584283288867,0.7976133438745941,1.9644846402403753,0.05287393280533686,NA,NA,-1.99,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 4.8
GRADUATE I 2023,4.9,Any ARIA H above 24 months,497,476,NA,NA,NA,NA,1.9154929577464788,1.438865656839604,2.550004063086318,0.02131081604281723,NA,NA,-66.44,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE I 2023 | 4.9
GRADUATE II 2023,4.9,Any ARIA H above 24 months,496,470,NA,NA,NA,NA,1.812040181097906,1.3498226667565718,2.4325340644953624,0.02257438296900218,NA,NA,-56.46,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE II 2023 | 4.9
CLARITY AD 2023,4.10,Symptomatic ARIA H at 18 months,898,897,NA,NA,NA,NA,2.9966592427616927,0.606452442031973,14.807371518104375,0.6644382537187811,NA,NA,-59.12,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 4.10
EMERGE 2022,5.1,SAE at 18 months,541,544,NA,NA,NA,NA,0.9062321717897812,0.6760266152665722,1.2148290180305752,0.02235764501972452,NA,NA,-48.74,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EMERGE 2022 | 5.1
ENGAGE 2022,5.1,SAE at 18 months,554,532,NA,NA,NA,NA,1.0151624548736462,0.7487793461127739,1.376313082265327,0.02411447439948297,NA,NA,-42.24,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENGAGE 2022 | 5.1
Bapineuzumab-301 2014,5.1,SAE at 18 months,329,524,NA,NA,NA,NA,1.120792525047844,0.865009427672188,1.4522106280200846,0.01746924337172493,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Bapineuzumab-301 2014 | 5.1
Bapineuzumab-302 2014,5.1,SAE at 18 months,673,448,NA,NA,NA,NA,1.3163931415596777,1.0509714998443778,1.6488467131620164,0.01319974627981499,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Bapineuzumab-302 2014 | 5.1
CREAD 2 2022,5.1,SAE at 18 months,404,398,NA,NA,NA,NA,0.7740452616690241,0.5013086222133811,1.1951640976508928,0.04912474377373131,NA,NA,-3.79,Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2 2022 | 5.1
TRAILBLAZER-ALZ 2 2023,5.1,SAE at 18 months,853,874,NA,NA,NA,NA,1.0988667448221965,0.8890498331464223,1.3582007193035028,0.01168663586606988,NA,NA,-86.33,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 5.1
CLARITY AD 2023,5.1,SAE at 18 months,898,897,NA,NA,NA,NA,1.246135526692981,0.975482057916536,1.5918834572960012,0.01560908508763166,NA,NA,-59.12,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 5.1
EXPEDITION - EXPEDITION 2 2016,5.1,SAE at 18 months,654,660,NA,NA,NA,NA,0.970948012232416,0.780528740300206,1.2078223309182492,0.01240556982086997,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION - EXPEDITION 2 2016 | 5.1
EXPEDITION 3 2018,5.1,SAE at 18 months,1054,1067,NA,NA,NA,NA,0.8770220001127248,0.7298891601778754,1.053814237348417,0.00877880703760097,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION 3 2018 | 5.1
ENVISION,5.2,SAE at 24 months,680,344,NA,NA,NA,NA,1.29769820971867,0.8159302297730878,2.0639272600248817,0.05604984843245798,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENVISION | 5.2
CREAD 2022,5.2,SAE at 24 months,404,405,NA,NA,NA,NA,1.0661244695898162,0.7779320705599281,1.4610805077621585,0.02585400568012263,NA,NA,-1.99,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 5.2
Marguerite RoAD 2024,5.2,SAE at 24 months,192,195,NA,NA,NA,NA,1.059782608695652,0.6200170226845111,1.811465067250676,0.07480838907469352,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Marguerite RoAD 2024 | 5.2
SCarlet RoAD 2017,5.2,SAE at 24 months,260,266,NA,NA,NA,NA,0.8556643356643356,0.6015715997700242,1.2170811514502813,0.03231539627420637,NA,NA,-12.64,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | SCarlet RoAD 2017 | 5.2
GRADUATE I 2023,5.3,SAE above 24 months,503,481,NA,NA,NA,NA,0.7650099403578529,0.5813621823166851,1.0066705861640102,0.01961713687673717,NA,NA,-66.44,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE I 2023 | 5.3
GRADUATE II 2023,5.3,SAE above 24 months,501,474,NA,NA,NA,NA,0.916072616671419,0.659308046448083,1.272833000501386,0.02816074587058457,NA,NA,-56.46,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE II 2023 | 5.3
Bapineuzumab-301 2014,6.1,Mortality at 18 months,329,524,NA,NA,NA,NA,1.5927051671732524,0.5637750957700624,4.499506573761434,0.28076637508990954,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Bapineuzumab-301 2014 | 6.1
Bapineuzumab-302 2014,6.1,Mortality at 18 months,673,448,NA,NA,NA,NA,1.99702823179792,0.7309718776578213,5.455916814989735,0.262948639708484,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Bapineuzumab-302 2014 | 6.1
CREAD 2 2022,6.1,Mortality at 18 months,404,398,NA,NA,NA,NA,0.0757834757834758,0.00428347140481177,1.340766555689668,2.1488707523795254,NA,NA,-3.79,Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2 2022 | 6.1
TRAILBLAZER-ALZ 2 2023,6.1,Mortality at 18 months,853,874,NA,NA,NA,NA,1.6393903868698712,0.7481808292082688,3.5921808413687737,0.16018350229771902,NA,NA,-86.33,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 6.1
CLARITY AD 2023,6.1,Mortality at 18 months,898,897,NA,NA,NA,NA,0.8561883550747693,0.2888765488802598,2.537618585541515,0.30729539657592364,NA,NA,-59.12,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 6.1
EXPEDITION - EXPEDITION 2 2016,6.1,Mortality at 18 months,654,660,NA,NA,NA,NA,1.7660550458715596,0.7459061542517619,4.181424710427679,0.19338436792565245,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION - EXPEDITION 2 2016 | 6.1
EXPEDITION 3 2018,6.1,Mortality at 18 months,1054,1067,NA,NA,NA,NA,0.5359415113293894,0.2399816607285421,1.1968968907625703,0.16804866679668629,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION 3 2018 | 6.1
ENVISION,6.2,Mortality at 24 months,680,344,NA,NA,NA,NA,3.5462555066079293,0.18369789583957816,68.45983760820818,2.2813473062084464,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENVISION | 6.2
CREAD 2022,6.2,Mortality at 24 months,404,405,NA,NA,NA,NA,1.603960396039604,0.5292239524724195,4.861248135207182,0.32005561667277865,NA,NA,-1.99,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 6.2
Marguerite RoAD 2024,6.2,Mortality at 24 months,192,195,NA,NA,NA,NA,1.015625,0.20755788006561005,4.96966985931317,0.6563301282051287,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Marguerite RoAD 2024 | 6.2
SCarlet RoAD 2017,6.2,Mortality at 24 months,260,266,NA,NA,NA,NA,0.34102564102564104,0.06946398082624776,1.6742272247231282,0.6590611143242727,NA,NA,-12.64,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | SCarlet RoAD 2017 | 6.2
GRADUATE I 2023,6.3,Mortality above 24 months,503,481,NA,NA,NA,NA,0.2868787276341948,0.07943366362017115,1.0360771569412504,0.42926625968375504,NA,NA,-66.44,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE I 2023 | 6.3
GRADUATE II 2023,6.3,Mortality above 24 months,501,474,NA,NA,NA,NA,1.655688622754491,0.4878149004937899,5.619559412276626,0.388751430231761,NA,NA,-56.46,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE II 2023 | 6.3
CREAD 2 2022,7.1,NPI-Q score at 12 months,110,102,0.76,0,9.29,8.24,0.08604846600191733,-0.1834920094196857,0.3555889414235204,0.01891262441734989,0.76,1.4502454723707663,-3.79,Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2 2022 | 7.1
ENVISION,7.2,NPI-Q score at 18 months,5,3,-1.8,-8.3,6.94,16.2,0.5168562568898105,-0.9579855762756352,1.9916980900552563,0.5662323961764549,6.500000000000001,97.11272000000001,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENVISION | 7.2
CREAD 2022,7.2,NPI-Q score at 18 months,87,84,1.55,1.02,5.16,5.11,0.10274442018549164,-0.19726844852848777,0.402757288899471,0.02343060946250822,0.53,0.6168997126436782,-1.99,Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 7.2
CREAD 2 2022,8.1,Infusion reaction at 18 months,404,398,NA,NA,NA,NA,0.7626956244011498,0.45589111430639045,1.2759726988004287,0.06893692084397289,NA,NA,-3.79,Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2 2022 | 8.1
TRAILBLAZER-ALZ 2 2023,8.1,Infusion reaction at 18 months,853,874,NA,NA,NA,NA,18.955451348182883,6.961564222363965,51.61327603055803,0.2611970158112328,NA,NA,-86.33,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 8.1
CLARITY AD 2023,8.1,Infusion reaction at 18 months,898,897,NA,NA,NA,NA,3.5869103057299045,2.775065239465424,4.636260567275828,0.0171425114863294,NA,NA,-59.12,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 8.1
CREAD 2022,8.2,Infusion reaction at 24 months,404,405,NA,NA,NA,NA,1.1491789422844725,0.7737788248778544,1.7067050673020483,0.04072245631989828,NA,NA,-1.99,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 8.2
EMERGE 2022,9.1,Study discontinuation at 18 months,1094,549,NA,NA,NA,NA,1.3510757980593446,0.9995632109317564,1.8262034778171936,0.02363805596640434,NA,NA,-48.74,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EMERGE 2022 | 9.1
ENGAGE 2022,9.1,Study discontinuation at 18 months,1105,548,NA,NA,NA,NA,1.1933257918552036,0.9083116188963478,1.5677730152093892,0.01938871159969273,NA,NA,-42.24,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENGAGE 2022 | 9.1
3000 Non Carriers 2016,9.1,Study discontinuation at 18 months,269,346,NA,NA,NA,NA,0.9675809638634918,0.8563137547451485,1.0933059482498146,0.00388488292723658,NA,NA,6.52,PET time requires verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | 3000 Non Carriers 2016 | 9.1
3001 Carriers 2016,9.1,Study discontinuation at 18 months,658,441,NA,NA,NA,NA,1.1069320521619768,0.9443295284761288,1.2975328327186784,0.00657053236817491,NA,NA,-9.6,PET time requires verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | 3001 Carriers 2016 | 9.1
Bapineuzumab-301 2014,9.1,Study discontinuation at 18 months,666,524,NA,NA,NA,NA,1.0525227213968935,0.8817093871430218,1.256427679245096,0.00816311315772996,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Bapineuzumab-301 2014 | 9.1
Bapineuzumab-302 2014,9.1,Study discontinuation at 18 months,673,448,NA,NA,NA,NA,1.2405781439956771,1.0172849613470791,1.5128839900688054,0.01025093091321392,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Bapineuzumab-302 2014 | 9.1
CREAD 2 2022,9.1,Study discontinuation at 18 months,407,399,NA,NA,NA,NA,1.307125307125307,0.8505466384473077,2.0087982143418657,0.04806703490914023,NA,NA,-3.79,Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2 2022 | 9.1
TRAILBLAZER-ALZ 2 2023,9.1,Study discontinuation at 18 months,860,876,NA,NA,NA,NA,1.3601021642693911,1.1438559026274129,1.6172298390043287,0.00780500794072363,NA,NA,-86.33,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 9.1
CLARITY AD 2023,9.1,Study discontinuation at 18 months,898,897,NA,NA,NA,NA,1.2057986000636334,0.983299869485978,1.4786438085011375,0.01083160395828458,NA,NA,-59.12,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 9.1
EXPEDITION - EXPEDITION 2 2016,9.1,Study discontinuation at 18 months,659,663,NA,NA,NA,NA,1.0344097971745496,0.8432648744502962,1.2688820095681113,0.01086582228082442,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION - EXPEDITION 2 2016 | 9.1
EXPEDITION 3 2018,9.1,Study discontinuation at 18 months,1054,1072,NA,NA,NA,NA,0.8868422270560467,0.7206553444898731,1.091352671846841,0.01120896554430569,NA,NA,NA,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION 3 2018 | 9.1
CREAD 2022,9.2,Study discontinuation at 24 months,404,409,NA,NA,NA,NA,1.006068597513957,0.9366708778300016,1.0806079775306114,0.00132982573593869,NA,NA,-1.99,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 9.2
SCarlet RoAD 2017,9.2,Study discontinuation at 24 months,260,266,NA,NA,NA,NA,1.0536165327210103,0.7888018745680653,1.4073341276361957,0.02181257441512234,NA,NA,-12.64,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | SCarlet RoAD 2017 | 9.2
GRADUATE I 2023,9.3,Study discontinuation above 24 months,499,485,NA,NA,NA,NA,1.229806551879269,0.9736316152968528,1.5533843922930235,0.01420273407555015,NA,NA,-66.44,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE I 2023 | 9.3
GRADUATE II 2023,9.3,Study discontinuation above 24 months,498,477,NA,NA,NA,NA,1.5085843373493977,1.174326069747422,1.9379853360365351,0.01633203974929367,NA,NA,-56.46,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE II 2023 | 9.3
